urls,names
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=athletes&narozeni_stat=&pohlavi=&razeni=,athletes
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=baseball-players&narozeni_stat=&pohlavi=&razeni=,baseball-players
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=basketball-players&narozeni_stat=&pohlavi=&razeni=,basketball-players
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=figure-skaters&narozeni_stat=&pohlavi=&razeni=,figure-skaters
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=football-players&narozeni_stat=&pohlavi=&razeni=,football-players
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=golfers&narozeni_stat=&pohlavi=&razeni=,golfers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=gymnasts&narozeni_stat=&pohlavi=&razeni=,gymnasts
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=ice-hockey-players&narozeni_stat=&pohlavi=&razeni=,ice-hockey-players
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=martial-artists&narozeni_stat=&pohlavi=&razeni=,martial-artists
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=racers&narozeni_stat=&pohlavi=&razeni=,racers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=runners-sprinters&narozeni_stat=&pohlavi=&razeni=,runners-sprinters
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=skiers&narozeni_stat=&pohlavi=&razeni=,skiers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=swimmers&narozeni_stat=&pohlavi=&razeni=,swimmers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=tennis-players&narozeni_stat=&pohlavi=&razeni=,tennis-players
